"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"2854","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.550273894","0.396235884","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2855","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.143100844","0.407535373","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2856","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.557076641","0.761942649","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2857","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.354898219","0.620547765","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2858","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.630089045","0.399447127","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2859","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.453597594","0.533300529","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2860","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.342371959","0.320509791","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2861","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.188221279","0.319450544","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2862","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.986763989","1.023725282","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2863","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.438445789","0.455900598","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2864","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.247096792","0.330682715","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2865","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.146292093","0.320681648","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2866","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.828525978","0.361987839","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2867","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-1.290096213","0.466241268","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2868","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.338161426","0.323841642","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2869","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.197977454","0.542307614","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2870","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.900786545","0.316198362","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2871","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.295051303","0.3164755","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2872","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.316838657","0.362438018","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2873","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.72803444","0.331794418","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2874","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.678243775","0.318596546","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2875","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.497722399","0.33467467","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2876","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.029156584","0.477834702","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2877","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.127596657","0.316966899","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2878","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.350740208","0.352726448","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2879","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.101209902","0.351021364","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2880","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.3254224","0.432872505","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2881","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.195424782","0.484149334","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2882","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.04849435","0.774344567","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2883","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.036148514","0.465374958","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2884","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.31771436","0.438205949","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2885","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.329686799","0.320064578","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2886","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.095847959","0.318880844","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2887","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.342406972","0.405990336","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2888","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.101209902","0.322424607","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2889","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.011904903","0.331803022","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2890","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.217208816","0.446965393","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2891","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.442255317","0.527660304","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2892","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-1.066545413","0.316691346","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2893","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.036148514","0.37925956","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2894","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.434621692","0.317766588","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2895","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.619039208","0.432039123","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2896","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.815521894","0.317744674","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2897","Fitzpatrick,2017","2017","Geum canadense","Geum","Rosaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.137959444","0.321198116","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2898","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.51719119","0.247225108","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2899","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","0.346440231","0.483079531","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"2900","Fitzpatrick,2017","2017","Hedeoma hispida","Hedeoma","Lamiaceae","Greenhouse","Nonwoody","Native","Self-Other","Aboveground","3","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","2","Original data","-0.340926587","0.169131321","44.04","-79.53","44.04","6.254166603","849","0.9477","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=3; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
